bond_id,issuer,ticker,evaluation_date,maturity_date,coupon_rate,clean_price,rating,sector,seniority,currency,coupon_frequency,face_value
AMZN_2031_425,Amazon.com Inc,AMZN,2026-04-06,2031-03-13,0.0425,99.36,A,Consumer Cyclical,Senior Unsecured,USD,2,100
AMZN_2036_488,Amazon.com Inc,AMZN,2026-04-06,2036-03-13,0.04875,99.31,A,Consumer Cyclical,Senior Unsecured,USD,2,100
META_2030_420,Meta Platforms Inc,META,2026-04-06,2030-11-15,0.0420,99.17,AA,Communications,Senior Unsecured,USD,2,100
META_2035_488,Meta Platforms Inc,META,2026-04-06,2035-11-15,0.04875,98.46,AA,Communications,Senior Unsecured,USD,2,100
PFE_2033_475,Pfizer Investment Enterprises Pte,PFE,2026-04-06,2033-05-19,0.0475,99.71,A,Consumer Non-Cyclical,Senior Unsecured,USD,2,100
PFE_2053_530,Pfizer Investment Enterprises Pte,PFE,2026-04-06,2053-05-19,0.0530,93.75,A,Consumer Non-Cyclical,Senior Unsecured,USD,2,100
F_2030_400,Ford Motor Credit Company LLC,F,2026-04-06,2030-11-13,0.0400,93.49,BBB,Consumer Cyclical,Senior Unsecured,USD,2,100
F_2033_713,Ford Motor Credit Company LLC,F,2026-04-06,2033-11-07,0.07125,105.39,BBB,Consumer Cyclical,Senior Unsecured,USD,2,100
