bond_id,issuer,evaluation_date,maturity_date,coupon_rate,clean_price,accrued_interest,dirty_price,ytm,spread_to_curve,modified_duration,convexity,model_dirty_price,ticker,rating,sector,seniority,currency,coupon_frequency,face_value,fair_spread,comp_count,comp_support_score,comp_ids,fair_model_dirty_price,price_residual,spread_residual_bps,review_flag,review_reason
AMZN_2031_425,Amazon.com Inc,2026-04-06,2031-03-13,0.0425,99.36,0.2771739130434782,99.63717391304348,0.0439572150143794,0.004107984052971,4.39276089814579,22.624963619477583,99.63717391525232,AMZN,A,Consumer Cyclical,Senior Unsecured,USD,2,100,0.005691875210655027,3,2.871373762670229,"AMZN_2036_488, META_2030_420, PFE_2033_475",98.93494684181468,0.7022270712288048,-15.83891157684027,Review,moderate spread residual; moderate price residual
AMZN_2036_488,Amazon.com Inc,2026-04-06,2036-03-13,0.04875,99.31,0.3179347826086956,99.6279347826087,0.0496263543731765,0.0061530250683426,7.767160826129685,73.09640732711213,99.62793478862488,AMZN,A,Consumer Cyclical,Senior Unsecured,USD,2,100,0.005358137515244172,3,2.861443195639229,"AMZN_2031_425, PFE_2033_475, META_2035_488",100.25533250028515,-0.6273977176764447,7.948875530984283,Review,moderate price residual
F_2030_400,Ford Motor Credit Company LLC,2026-04-06,2030-11-13,0.04,93.49,1.591160220994475,95.08116022099448,0.0562055904790759,0.0163467383012175,4.0529896090526725,19.55721684372641,95.08116022542902,F,BBB,Consumer Cyclical,Senior Unsecured,USD,2,100,0.01940814958042359,3,0.881552924862949,"F_2033_713, AMZN_2031_425, META_2030_420",93.89757532102524,1.183584899969233,-30.614112792060922,High Review,large spread residual; large price residual; weak comp support
F_2033_713,Ford Motor Credit Company LLC,2026-04-06,2033-11-07,0.07125,105.39,2.952348066298342,108.34234806629834,0.0621860735304653,0.0200954924710094,5.699645988425036,41.132393610995145,108.342348064009,F,BBB,Consumer Cyclical,Senior Unsecured,USD,2,100,0.015906604713060792,3,-0.8325182363593059,"F_2030_400, PFE_2033_475, AMZN_2036_488",110.9964017020815,-2.654053635783157,41.88887757948609,High Review,large spread residual; large price residual; weak comp support
META_2030_420,Meta Platforms Inc,2026-04-06,2030-11-15,0.042,99.17,1.6475138121546962,100.8175138121547,0.0439737552648875,0.004290176378563,4.079847142176854,19.81487840838074,100.8175138057042,META,AA,Communications,Senior Unsecured,USD,2,100,0.006341261396148726,3,2.004952417466654,"META_2035_488, AMZN_2031_425, PFE_2033_475",99.96381738741154,0.8536964247431627,-20.510850175857257,High Review,large spread residual; moderate price residual
META_2035_488,Meta Platforms Inc,2026-04-06,2035-11-15,0.04875,98.46,1.912292817679558,100.37229281767956,0.0507769319089129,0.0074940803926438,7.433917310066102,67.89973253485796,100.37229281350368,META,AA,Communications,Senior Unsecured,USD,2,100,0.004878444910004352,3,2.029900347063797,"META_2030_420, AMZN_2036_488, PFE_2033_475",102.37986178886567,-2.007568971186103,26.156354826394473,High Review,large spread residual; large price residual
PFE_2033_475,Pfizer Investment Enterprises Pte,2026-04-06,2033-05-19,0.0475,99.71,1.810773480662984,101.52077348066298,0.0479768786998465,0.0061822138610295,5.872393823032152,41.42215717297633,101.52077348181976,PFE,A,Consumer Non-Cyclical,Senior Unsecured,USD,2,100,0.005260006774999251,3,1.368538792262547,"AMZN_2036_488, AMZN_2031_425, META_2035_488",102.08178642361148,-0.5610129429484942,9.222070860302493,Review,moderate price residual; weak comp support
PFE_2053_530,Pfizer Investment Enterprises Pte,2026-04-06,2053-05-19,0.053,93.75,2.0204419889502763,95.77044198895028,0.0575731000507948,0.0103922586434055,13.584470691231326,279.3185396627365,95.77044198562098,PFE,A,Consumer Non-Cyclical,Senior Unsecured,USD,2,100,0.006609773107338633,3,-10.452427613820289,"PFE_2033_475, AMZN_2036_488, META_2035_488",100.8338734766041,-5.063431487653816,37.82485536066867,High Review,large spread residual; large price residual; weak comp support
