date,maturity_years,par_yield,discount_factor,zero_rate
2026-04-06,0.25,0.037200000000000004,0.9907856930545922,0.03772216490852043
2026-04-06,0.5,0.0374,0.9816432708353785,0.037749689999999836
2026-04-06,1.0,0.037200000000000004,0.9638144857279225,0.0375440655934407
2026-04-06,2.0,0.0384,0.9266874692147157,0.03880338172113418
2026-04-06,3.0,0.0388,0.8910214620415886,0.039211502306799595
2026-04-06,5.0,0.0398,0.8206983199430969,0.040311240705578344
2026-04-06,7.0,0.0416,0.7479388611866584,0.042363339873019656
2026-04-06,10.0,0.0434,0.647054209518139,0.04449396091515134
2026-04-06,30.0,0.0489,0.18728815990475686,0.05742519960702874
